Model,DIC,logscore,WAIC
T1,865.6673,5.244,909.7911
T2,3307.3826,34.368,33612.8396
S,3235.1411,34.194,21291.6747
mt,1787.1146,11.542,2124.9434
tr,1871.0275,19.445,9223.9923
T2+tr,1821.105,19.373,9390.9505
T2+mt,1721.8271,11.562,2450.8969
mt+tr,1080.6247,8.315,1656.9288
T1+T2,865.2802,5.259,912.7812
T1+tr,786.5081,5.015,855.6387
T1+mt,771.6806,4.844,831.7573
T1+S,792.4114,4.823,835.9951
T2+S,2078.3888,34.671,30043.4813
T2+T1+tr,784.0765,5.059,856.8
T2+T1+mt,771.9276,4.854,832.8584
T2+T1+S,792.3026,4.831,836.9314
T1+T2+mt+tr,718.827,4.78,780.2073
T2+T1+tr+mt+S,672.8338,4.328,714.8578
T2+T1+tr+mt+S+Nummosq,656.4522,4.169,689.6341
