Model,DIC,logscore,WAIC
T1,5953.1464,6.778,8043.6906
T2,19222.2285,29.105,80647.159
S,26640.8971,29.424,21886.2761
mt,6515.9545,8.625,9235.2014
tr,9768.1395,12.262,29813.1365
T2+tr,7905.9926,11.304,19147.0849
T2+mt,5588.9822,6.758,8567.4172
mt+tr,4934.568,6.787,10575.4306
T1+T2,4285.6349,4.994,5117.2412
T1+tr,4766.329,6.098,9081.1994
T1+mt,5120.786,6.17,6726.0426
T1+S,5649.9514,6.55,9174.6545
T2+S,18024.6279,28.919,72770.208
T2+T1+tr,4092.8151,4.754,4693.0149
T2+T1+mt,3986.7114,4.637,4764.1153
T2+T1+S,4004.3114,4.692,4937.968
T1+T2+mt+tr,3791.7756,4.445,4367.6455
T2+T1+tr+mt+S,3537.8326,4.104,3871.687
