Model,DIC,logscore,WAIC
T1,738.2089,4.268,741.456
T2,927.1015,5.329,927.3076
S,927.0998,5.329,927.3079
mt,843.8493,4.888,847.4272
tr,908.5821,5.212,906.3224
T2+tr,908.4868,5.211,906.2435
T2+mt,843.7876,4.887,847.3724
mt+tr,824.4692,4.784,827.0812
T1+T2,737.9362,4.266,741.1542
T1+tr,734.6215,4.254,736.196
T1+mt,738.7964,4.3,743.8445
T1+S,735.3293,4.267,740.4123
T2+S,926.8576,5.328,927.003
T2+T1+tr,734.2668,4.252,735.9502
T2+T1+mt,738.5782,4.298,743.6112
T2+T1+S,734.189,4.259,739.0602
T2+mt+tr,729.0409,4.248,731.3
T2+T1+tr+mt+S,726.2653,4.238,727.5013
