"","Date","HKK","NewEast","NewWest"
"1",2010-01-01,0,0,0
"2",2010-02-01,0.046,0,0.018
"3",2010-03-01,0.298,0.052,0.238
"4",2010-04-01,0.62,0.089,0.494
"5",2010-05-01,1.941,0.576,1.189
"6",2010-06-01,2.227,1.034,0.862
"7",2010-07-01,2.855,0.927,1.134
"8",2010-08-01,2.084,0.998,0.758
"9",2010-09-01,1.634,0.685,0.673
"10",2010-10-01,0.553,0.434,0.232
"11",2010-11-01,0.084,0.056,0.091
"12",2010-12-01,0.034,0,0
"13",2011-01-01,0,0,0
"14",2011-02-01,0.018,0,0
"15",2011-03-01,0,0,0
"16",2011-04-01,0.16,0.018,0
"17",2011-05-01,1.979,0.959,1.363
"18",2011-06-01,2.554,1.326,1.404
"19",2011-07-01,3.332,1.137,1.821
"20",2011-08-01,1.96,0.98,0.791
"21",2011-09-01,1.282,0.606,0.707
"22",2011-10-01,0.649,0.238,0.339
"23",2011-11-01,0.336,0.145,0.108
"24",2011-12-01,0.072,0,0.052
"25",2012-01-01,0,0,0
"26",2012-02-01,0,0,0
"27",2012-03-01,0.093,0.017,0.05
"28",2012-04-01,0.888,0.252,0.881
"29",2012-05-01,2.809,0.827,1.879
"30",2012-06-01,3.033,0.99,1.186
"31",2012-07-01,1.221,0.655,0.596
"32",2012-08-01,1.68,0.609,0.874
"33",2012-09-01,1.06,0.312,0.573
"34",2012-10-01,0.495,0.253,0.279
"35",2012-11-01,0.121,0.128,0.093
"36",2012-12-01,0.112,0.035,0.017
"37",2013-01-01,0.019,0,0.019
"38",2013-02-01,0.018,0,0
"39",2013-03-01,0,0,0.018
"40",2013-04-01,0.602,0.204,0.281
"41",2013-05-01,2.359,1.067,1.522
"42",2013-06-01,3.274,1.27,1.537
"43",2013-07-01,2.04,0.601,0.477
"44",2013-08-01,1.765,0.594,0.492
"45",2013-09-01,1.211,0.687,0.691
"46",2013-10-01,0.541,0.306,0.145
"47",2013-11-01,0.186,0.018,0.06
"48",2013-12-01,0.018,0.018,0
"49",2014-01-01,0,0,0
"50",2014-02-01,0,0,0
"51",2014-03-01,0,0,0
"52",2014-04-01,0.295,0.283,0.21
"53",2014-05-01,2.369,1.238,1.62
"54",2014-06-01,2.743,1.285,1.081
"55",2014-07-01,2.393,1.373,0.776
"56",2014-08-01,1.471,0.696,0.693
"57",2014-09-01,1.023,0.319,0.439
"58",2014-10-01,0.514,0.274,0.193
"59",2014-11-01,0.094,0.056,0.036
"60",2014-12-01,0.018,0.038,0
"61",2015-01-01,0,0,0
"62",2015-02-01,0,0,0
"63",2015-03-01,0.036,0.02,0.019
"64",2015-04-01,0.577,0.146,0.19
"65",2015-05-01,1.993,0.626,0.732
"66",2015-06-01,2.815,1.315,0.987
"67",2015-07-01,1.266,0.807,0.495
"68",2015-08-01,1.678,0.734,0.693
"69",2015-09-01,0.876,0.666,0.73
"70",2015-10-01,1.042,0.321,0.371
"71",2015-11-01,0.276,0.085,0.089
"72",2015-12-01,0.037,0.018,0
"73",2016-01-01,0,0,0
"74",2016-02-01,0,0,0
"75",2016-03-01,0,0,0
"76",2016-04-01,0.497,0.12,0.165
"77",2016-05-01,2.399,1.147,1.304
"78",2016-06-01,3.896,1.303,1.639
"79",2016-07-01,3.724,1.068,1.282
"80",2016-08-01,2.192,0.727,0.785
"81",2016-09-01,1.871,0.549,0.898
"82",2016-10-01,0.985,0.25,0.13
"83",2016-11-01,0.205,0.071,0.052
"84",2016-12-01,0.018,0.017,0.019
"85",2017-01-01,0,0.016,0
"86",2017-02-01,0,0,0
"87",2017-03-01,0,0.033,0.018
"88",2017-04-01,0.58,0.136,0.218
"89",2017-05-01,4.235,1.597,1.652
"90",2017-06-01,3.389,0.826,1.033
"91",2017-07-01,3.277,0.997,1.241
"92",2017-08-01,2.299,0.518,0.587
"93",2017-09-01,1.796,0.675,0.679
"94",2017-10-01,1.023,0.22,0.175
"95",2017-11-01,0.256,0.069,0.083
"96",2017-12-01,0.037,0.033,0
"97",2018-01-01,0,0,0
"98",2018-02-01,0,0,0
"99",2018-03-01,0.02,0.016,0
"100",2018-04-01,0.253,0.181,0.118
"101",2018-05-01,2.547,1.398,1.298
"102",2018-06-01,3.19,1.369,1.205
"103",2018-07-01,5.047,1.939,2.108
"104",2018-08-01,2.39,0.958,0.938
"105",2018-09-01,2.07,0.734,0.537
"106",2018-10-01,0.683,0.362,0.175
"107",2018-11-01,0.288,0.072,0.133
"108",2018-12-01,0.051,0,0
"109",2019-01-01,0.013,0,0
"110",2019-02-01,0.018,0.018,0
"111",2019-03-01,0.383,0.121,0.194
"112",2019-04-01,1.728,0.749,0.618
"113",2019-05-01,3.173,1.363,1.698
"114",2019-06-01,4.995,2.138,1.834
"115",2019-07-01,3.381,1.355,1.07
"116",2019-08-01,2.197,1.037,0.67
"117",2019-09-01,1.988,0.869,0.815
"118",2019-10-01,0.893,0.404,0.315
"119",2019-11-01,0.409,0.138,0.058
"120",2019-12-01,0.017,0.008,0.031
"121",2020-01-01,0.064,0.018,0.017
"122",2020-02-01,0.028,0,0.009
"123",2020-03-01,0.21,0.086,0.193
"124",2020-04-01,1.344,0.645,0.716
"125",2020-05-01,2.857,1.111,1.765
"126",2020-06-01,5.923,2.709,2.791
"127",2020-07-01,2.576,1.099,0.97
"128",2020-08-01,2.101,0.903,0.807
"129",2020-09-01,2.24,0.987,0.902
"130",2020-10-01,1.436,0.483,0.575
"131",2020-11-01,0.699,0.201,0.32
"132",2020-12-01,0.284,0.089,0.095
"133",2021-01-01,0.0369513985849993,0.0196153846153846,0
"134",2021-02-01,0.0361498559541883,0.0262784057860222,0.060021470068199
"135",2021-03-01,0.726767801994209,0.465973962466341,0.667974134816927
"136",2021-04-01,1.52797707003193,1.15739122729247,0.713623458927956
"137",2021-05-01,3.49251796135979,1.69399126014864,1.57001492912663
"138",2021-06-01,4.59605829370903,2.63418042053971,2.57196084907342
"139",2021-07-01,2.558,1.12,0.917
"140",2021-08-01,2.845,1.258,1.503
"141",2021-09-01,1.889,0.922,0.801
"142",2021-10-01,0.972,0.383,0.396
"143",2021-11-01,0.638,0.283,0.415
"144",2021-12-01,0.07,0,0
"145",2022-01-01,0.074,0.037,0.03
"146",2022-02-01,0.034,0,0.02
"147",2022-03-01,0.101,0.047,0.05
"148",2022-04-01,0.717,0.434,0.318
"149",2022-05-01,3.258,1.928,1.626
"150",2022-06-01,6.618,3.412,3.389
"151",2022-07-01,3.19,1.713,1.299
"152",2022-08-01,2.295,0.96,0.809
"153",2022-09-01,1.51,1.22,0.597
