"","X","Date","District","Meantemp","Totalrain","sumAOI","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito","Nummosquito.per.trap","Nummosquito.per.1000.traps","Period","year","month"
"1",1,2010-01-01,"Hong Kong Island & Kowloon",16.9655914,24.125,0,0,NA,21,1155,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","01"
"2",2,2010-01-01,"New Territories East",16.31612903,20.16666667,0,0,NA,6,330,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","01"
"3",3,2010-01-01,"New Territories West",16.42096774,22,0,0,NA,10,550,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","01"
"4",4,2010-02-01,"Hong Kong Island & Kowloon",17.89166667,95.125,0.046,0.002190476,NA,21,1155,3,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","02"
"5",5,2010-02-01,"New Territories East",17.5125,65.66666667,0,0,NA,6,330,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","02"
"6",6,2010-02-01,"New Territories West",17.53928571,89.75,0.018,0.0018,NA,10,550,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","02"
"7",7,2010-03-01,"Hong Kong Island & Kowloon",20.11505376,9.625,0.298,0.014190476,NA,21,1155,16,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","03"
"8",8,2010-03-01,"New Territories East",19.76907021,10.5,0.052,0.007428571,NA,6,330,3,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","03"
"9",9,2010-03-01,"New Territories West",19.80080645,15.5,0.238,0.0238,NA,10,550,13,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","03"
"10",10,2010-04-01,"Hong Kong Island & Kowloon",21.14333333,92.125,0.62,0.02952381,NA,21,1155,34,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","04"
"11",11,2010-04-01,"New Territories East",20.64011494,90.5,0.089,0.012714286,NA,6,330,5,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","04"
"12",12,2010-04-01,"New Territories West",21.1075,111.375,0.494,0.0494,NA,10,550,27,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","04"
"13",13,2010-05-01,"Hong Kong Island & Kowloon",25.60215054,180.125,1.941,0.092428571,NA,21,1155,107,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","05"
"14",14,2010-05-01,"New Territories East",25.24249649,163.1666667,0.576,0.082285714,NA,6,330,32,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","05"
"15",15,2010-05-01,"New Territories West",25.74758065,207.5,1.189,0.1189,NA,10,550,65,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","05"
"16",16,2010-06-01,"Hong Kong Island & Kowloon",27.05111111,458.375,2.227,0.106047619,NA,21,1155,122,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","06"
"17",17,2010-06-01,"New Territories East",27.1084127,166,1.034,0.147714286,NA,6,330,57,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","06"
"18",18,2010-06-01,"New Territories West",26.88666667,277.375,0.862,0.0862,NA,10,550,47,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","06"
"19",19,2010-07-01,"Hong Kong Island & Kowloon",29.18172043,411.75,2.855,0.135952381,NA,21,1155,157,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","07"
"20",20,2010-07-01,"New Territories East",28.82637238,408.8333333,0.927,0.132428571,NA,6,330,51,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","07"
"21",21,2010-07-01,"New Territories West",28.83387097,234.375,1.134,0.1134,NA,10,550,62,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","07"
"22",22,2010-08-01,"Hong Kong Island & Kowloon",28.93333333,265.375,2.084,0.099238095,NA,21,1155,115,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","08"
"23",23,2010-08-01,"New Territories East",28.75376344,220.5,0.998,0.142571429,NA,6,330,55,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","08"
"24",24,2010-08-01,"New Territories West",28.4266595,177.625,0.758,0.0758,NA,10,550,42,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","08"
"25",25,2010-09-01,"Hong Kong Island & Kowloon",28.12777778,617,1.634,0.077809524,NA,21,1155,90,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","09"
"26",26,2010-09-01,"New Territories East",27.93222222,344.8333333,0.685,0.097857143,NA,6,330,38,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","09"
"27",27,2010-09-01,"New Territories West",27.69266667,449.375,0.673,0.0673,NA,10,550,37,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","09"
"28",28,2010-10-01,"Hong Kong Island & Kowloon",25.13870968,36.375,0.553,0.026333333,NA,21,1155,30,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","10"
"29",29,2010-10-01,"New Territories East",24.51182796,51.16666667,0.434,0.062,NA,6,330,24,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","10"
"30",30,2010-10-01,"New Territories West",24.65096774,24.5,0.232,0.0232,NA,10,550,13,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","10"
"31",31,2010-11-01,"Hong Kong Island & Kowloon",21.21444444,37.5,0.084,0.004,NA,21,1155,5,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","11"
"32",32,2010-11-01,"New Territories East",20.57777778,37.5,0.056,0.008,NA,6,330,3,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","11"
"33",33,2010-11-01,"New Territories West",20.87933333,34.75,0.091,0.0091,NA,10,550,5,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","11"
"34",34,2010-12-01,"Hong Kong Island & Kowloon",17.93010753,17.625,0.034,0.001619048,NA,21,1155,2,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","12"
"35",35,2010-12-01,"New Territories East",17.04516129,19,0,0,NA,6,330,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","12"
"36",36,2010-12-01,"New Territories West",17.59354839,21.5,0,0,NA,10,550,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2010","12"
"37",37,2011-01-01,"Hong Kong Island & Kowloon",13.68817204,4.25,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","01"
"38",38,2011-01-01,"New Territories East",12.34731183,8.833333333,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","01"
"39",39,2011-01-01,"New Territories West",12.79870968,5.25,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","01"
"40",40,2011-02-01,"Hong Kong Island & Kowloon",16.1452381,21.25,0.018,0.00075,NA,24,1320,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","02"
"41",41,2011-02-01,"New Territories East",15.6,23.83333333,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","02"
"42",42,2011-02-01,"New Territories West",15.81396825,17.125,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","02"
"43",43,2011-03-01,"Hong Kong Island & Kowloon",17.90193548,17.875,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","03"
"44",44,2011-03-01,"New Territories East",17.36344086,18.66666667,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","03"
"45",45,2011-03-01,"New Territories West",17.66451613,28.75,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","03"
"46",46,2011-04-01,"Hong Kong Island & Kowloon",22.56333333,31.25,0.16,0.006666667,NA,24,1320,9,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","04"
"47",47,2011-04-01,"New Territories East",22.53777778,70.16666667,0.018,0.00225,NA,8,440,1,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","04"
"48",48,2011-04-01,"New Territories West",22.64466667,25.625,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","04"
"49",49,2011-05-01,"Hong Kong Island & Kowloon",25.91935484,169.875,1.979,0.082458333,NA,24,1320,109,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","05"
"50",50,2011-05-01,"New Territories East",25.59677419,204.3333333,0.959,0.119875,NA,8,440,53,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","05"
"51",51,2011-05-01,"New Territories West",25.84322581,169,1.363,0.113583333,NA,12,660,75,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","05"
"52",52,2011-06-01,"Hong Kong Island & Kowloon",28.43333333,423.25,2.554,0.106416667,NA,24,1320,140,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","06"
"53",53,2011-06-01,"New Territories East",28.31,466.6666667,1.326,0.16575,NA,8,440,73,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","06"
"54",54,2011-06-01,"New Territories West",28.302,350.625,1.404,0.117,NA,12,660,77,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","06"
"55",55,2011-07-01,"Hong Kong Island & Kowloon",28.72795699,219.875,3.332,0.138833333,NA,24,1320,183,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","07"
"56",56,2011-07-01,"New Territories East",28.59354839,226.6666667,1.137,0.142125,NA,8,440,63,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","07"
"57",57,2011-07-01,"New Territories West",28.47741935,200.5,1.821,0.15175,NA,12,660,100,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","07"
"58",58,2011-08-01,"Hong Kong Island & Kowloon",29.40645161,139.125,1.96,0.081666667,NA,24,1320,108,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","08"
"59",59,2011-08-01,"New Territories East",29.34408602,149,0.98,0.1225,NA,8,440,54,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","08"
"60",60,2011-08-01,"New Territories West",29.11228495,134.375,0.791,0.065916667,NA,12,660,44,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","08"
"61",61,2011-09-01,"Hong Kong Island & Kowloon",28.15509579,135.75,1.282,0.053416667,NA,24,1320,71,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","09"
"62",62,2011-09-01,"New Territories East",27.62333333,128.3333333,0.606,0.07575,NA,8,440,33,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","09"
"63",63,2011-09-01,"New Territories West",27.7547619,100.75,0.707,0.058916667,NA,12,660,39,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","09"
"64",64,2011-10-01,"Hong Kong Island & Kowloon",24.9344086,147.375,0.649,0.027041667,NA,24,1320,36,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","10"
"65",65,2011-10-01,"New Territories East",24.22473118,185.8333333,0.238,0.02975,NA,8,440,13,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","10"
"66",66,2011-10-01,"New Territories West",24.51741935,82.125,0.339,0.02825,NA,12,660,19,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","10"
"67",67,2011-11-01,"Hong Kong Island & Kowloon",23.18524904,91.875,0.336,0.014,NA,24,1320,18,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","11"
"68",68,2011-11-01,"New Territories East",22.53111111,97.83333333,0.145,0.018125,NA,8,440,8,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","11"
"69",69,2011-11-01,"New Territories West",22.78565517,93.125,0.108,0.009,NA,12,660,6,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","11"
"70",70,2011-12-01,"Hong Kong Island & Kowloon",17.08350019,2.5,0.072,0.003,NA,24,1320,4,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","12"
"71",71,2011-12-01,"New Territories East",15.77096774,0,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","12"
"72",72,2011-12-01,"New Territories West",16.41032258,0.625,0.052,0.004333333,NA,12,660,3,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2011","12"
"73",73,2012-01-01,"Hong Kong Island & Kowloon",15.20215054,38.75,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","01"
"74",74,2012-01-01,"New Territories East",13.88494624,43.83333333,0,0,NA,8,440,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","01"
"75",75,2012-01-01,"New Territories West",14.25870968,45.25,0,0,NA,12,660,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","01"
"76",76,2012-02-01,"Hong Kong Island & Kowloon",16.1137931,31.875,0,0,NA,24,1320,0,"#VALUE!","#VALUE!",NA,"2010 ~ 2019","2012","02"
