"","Date","Totalrain"
"1",2010-01-01,25.5
"2",2010-02-01,81.5
"3",2010-03-01,0
"4",2010-04-01,85
"5",2010-05-01,199.5
"6",2010-06-01,418
"7",2010-07-01,434.5
"8",2010-08-01,279.5
"9",2010-09-01,658.5
"10",2010-10-01,20.5
"11",2010-11-01,37
"12",2010-12-01,21.5
"13",2011-01-01,5
"14",2011-02-01,22.5
"15",2011-03-01,23.5
"16",2011-04-01,33.5
"17",2011-05-01,166
"18",2011-06-01,412.5
"19",2011-07-01,198.5
"20",2011-08-01,184
"21",2011-09-01,150
"22",2011-10-01,151.5
"23",2011-11-01,94
"24",2011-12-01,3.5
"25",2012-01-01,37
"26",2012-02-01,27
"27",2012-03-01,20.5
"28",2012-04-01,269
"29",2012-05-01,342
"30",2012-06-01,243
"31",2012-07-01,411.5
"32",2012-08-01,178.5
"33",2012-09-01,214.5
"34",2012-10-01,51
"35",2012-11-01,42
"36",2012-12-01,51
"37",2013-01-01,3
"38",2013-02-01,1
"39",2013-03-01,151
"40",2013-04-01,172.5
"41",2013-05-01,417
"42",2013-06-01,375
"43",2013-07-01,477
"44",2013-08-01,404
"45",2013-09-01,374
"46",2013-10-01,1
"47",2013-11-01,64.5
"48",2013-12-01,79
"49",2014-01-01,0
"50",2014-02-01,37
"51",2014-03-01,159
"52",2014-04-01,109.5
"53",2014-05-01,781
"54",2014-06-01,409.5
"55",2014-07-01,233.5
"56",2014-08-01,487.5
"57",2014-09-01,173
"58",2014-10-01,79
"59",2014-11-01,47.5
"60",2014-12-01,45
"61",2015-01-01,39
"62",2015-02-01,25
"63",2015-03-01,18.5
"64",2015-04-01,54
"65",2015-05-01,457.5
"66",2015-06-01,304.5
"67",2015-07-01,477
"68",2015-08-01,153.5
"69",2015-09-01,103.5
"70",2015-10-01,149.5
"71",2015-11-01,16
"72",2015-12-01,66
"73",2016-01-01,197
"74",2016-02-01,22
"75",2016-03-01,166.5
"76",2016-04-01,239.5
"77",2016-05-01,173.5
"78",2016-06-01,390.5
"79",2016-07-01,194
"80",2016-08-01,465
"81",2016-09-01,294
"82",2016-10-01,591.5
"83",2016-11-01,136.5
"84",2016-12-01,8.5
"85",2017-01-01,14
"86",2017-02-01,15.5
"87",2017-03-01,40
"88",2017-04-01,72.5
"89",2017-05-01,299
"90",2017-06-01,646.5
"91",2017-07-01,623
"92",2017-08-01,502.5
"93",2017-09-01,241
"94",2017-10-01,91.5
"95",2017-11-01,33
"96",2017-12-01,0
"97",2018-01-01,64.5
"98",2018-02-01,7.5
"99",2018-03-01,25
"100",2018-04-01,44.5
"101",2018-05-01,70
"102",2018-06-01,480.5
"103",2018-07-01,355
"104",2018-08-01,717
"105",2018-09-01,388
"106",2018-10-01,96.5
"107",2018-11-01,69.5
"108",2018-12-01,20
"109",2019-01-01,3
"110",2019-02-01,80
"111",2019-03-01,144
"112",2019-04-01,183
"113",2019-05-01,245.5
"114",2019-06-01,392.5
"115",2019-07-01,401
"116",2019-08-01,586.5
"117",2019-09-01,147
"118",2019-10-01,179.5
"119",2019-11-01,0
"120",2019-12-01,16.5
"121",2020-01-01,18.5
"122",2020-02-01,64.5
"123",2020-03-01,46
"124",2020-04-01,62
"125",2020-05-01,363
"126",2020-06-01,359.5
"127",2020-07-01,137
"128",2020-08-01,540
"129",2020-09-01,693.5
"130",2020-10-01,80.5
"131",2020-11-01,2.5
"132",2020-12-01,0.5
"133",2021-01-01,0
"134",2021-02-01,61.5
"135",2021-03-01,4
"136",2021-04-01,35
"137",2021-05-01,64.5
"138",2021-06-01,603.5
"139",2021-07-01,415
"140",2021-08-01,344.5
"141",2021-09-01,81
"142",2021-10-01,766
"143",2021-11-01,3.5
"144",2021-12-01,16.5
"145",2022-01-01,4
"146",2022-02-01,164
"147",2022-03-01,68
"148",2022-04-01,8.5
"149",2022-05-01,443
"150",2022-06-01,360.5
"151",2022-07-01,150.5
"152",2022-08-01,593
