"","Date","Totalrain"
"1",2010-01-01,27.5
"2",2010-02-01,97
"3",2010-03-01,13
"4",2010-04-01,90.5
"5",2010-05-01,198.5
"6",2010-06-01,533
"7",2010-07-01,460.5
"8",2010-08-01,250.5
"9",2010-09-01,553
"10",2010-10-01,82.5
"11",2010-11-01,36.5
"12",2010-12-01,15
"13",2011-01-01,3.5
"14",2011-02-01,21.5
"15",2011-03-01,19
"16",2011-04-01,36
"17",2011-05-01,203.5
"18",2011-06-01,459.5
"19",2011-07-01,235.5
"20",2011-08-01,122
"21",2011-09-01,108.5
"22",2011-10-01,166.5
"23",2011-11-01,110.5
"24",2011-12-01,2
"25",2012-01-01,39.5
"26",2012-02-01,34.5
"27",2012-03-01,23.5
"28",2012-04-01,273
"29",2012-05-01,296
"30",2012-06-01,275
"31",2012-07-01,404
"32",2012-08-01,202.5
"33",2012-09-01,209.5
"34",2012-10-01,40
"35",2012-11-01,54.5
"36",2012-12-01,49
"37",2013-01-01,3
"38",2013-02-01,3
"39",2013-03-01,142.5
"40",2013-04-01,182.5
"41",2013-05-01,426.5
"42",2013-06-01,354.5
"43",2013-07-01,385
"44",2013-08-01,359
"45",2013-09-01,421.5
"46",2013-10-01,1.5
"47",2013-11-01,54
"48",2013-12-01,69.5
"49",2014-01-01,0.5
"50",2014-02-01,34.5
"51",2014-03-01,183.5
"52",2014-04-01,166
"53",2014-05-01,770.5
"54",2014-06-01,385.5
"55",2014-07-01,248.5
"56",2014-08-01,528.5
"57",2014-09-01,108.5
"58",2014-10-01,61.5
"59",2014-11-01,68
"60",2014-12-01,37
"61",2015-01-01,39.5
"62",2015-02-01,24
"63",2015-03-01,17.5
"64",2015-04-01,62
"65",2015-05-01,483.5
"66",2015-06-01,285.5
"67",2015-07-01,387.5
"68",2015-08-01,153.5
"69",2015-09-01,149
"70",2015-10-01,130.5
"71",2015-11-01,57.5
"72",2015-12-01,61
"73",2016-01-01,219.5
"74",2016-02-01,21
"75",2016-03-01,162
"76",2016-04-01,209
"77",2016-05-01,218
"78",2016-06-01,317.5
"79",2016-07-01,236.5
"80",2016-08-01,505
"81",2016-09-01,310
"82",2016-10-01,618.5
"83",2016-11-01,126
"84",2016-12-01,12
"85",2017-01-01,8
"86",2017-02-01,17
"87",2017-03-01,40
"88",2017-04-01,59
"89",2017-05-01,385.5
"90",2017-06-01,672.5
"91",2017-07-01,622
"92",2017-08-01,484.5
"93",2017-09-01,197.5
"94",2017-10-01,99.5
"95",2017-11-01,31
"96",2017-12-01,0.5
"97",2018-01-01,59
"98",2018-02-01,6.5
"99",2018-03-01,22
"100",2018-04-01,35.5
"101",2018-05-01,80
"102",2018-06-01,555.5
"103",2018-07-01,356
"104",2018-08-01,571.5
"105",2018-09-01,303.5
"106",2018-10-01,91
"107",2018-11-01,69.5
"108",2018-12-01,14
"109",2019-01-01,1.5
"110",2019-02-01,75.5
"111",2019-03-01,162.5
"112",2019-04-01,216.5
"113",2019-05-01,215
"114",2019-06-01,436
"115",2019-07-01,387.5
"116",2019-08-01,469
"117",2019-09-01,147.5
"118",2019-10-01,191
"119",2019-11-01,0
"120",2019-12-01,12.5
"121",2020-01-01,15.5
"122",2020-02-01,75.5
"123",2020-03-01,45
"124",2020-04-01,73
"125",2020-05-01,367.5
"126",2020-06-01,378.5
"127",2020-07-01,104
"128",2020-08-01,441.5
"129",2020-09-01,685.5
"130",2020-10-01,51.5
"131",2020-11-01,2
"132",2020-12-01,0.5
"133",2021-01-01,0
"134",2021-02-01,71.5
"135",2021-03-01,5
"136",2021-04-01,41.5
"137",2021-05-01,96.5
"138",2021-06-01,593
"139",2021-07-01,431.5
"140",2021-08-01,356.5
"141",2021-09-01,63.5
"142",2021-10-01,585
"143",2021-11-01,2.5
"144",2021-12-01,18
"145",2022-01-01,3.5
"146",2022-02-01,169.5
"147",2022-03-01,96.5
"148",2022-04-01,4.5
"149",2022-05-01,477.5
"150",2022-06-01,372
"151",2022-07-01,153.5
"152",2022-08-01,564.5
