"","Date","Totalrain"
"1",2010-01-01,23.5
"2",2010-02-01,120
"3",2010-03-01,17.5
"4",2010-04-01,86
"5",2010-05-01,177.5
"6",2010-06-01,465.5
"7",2010-07-01,455.5
"8",2010-08-01,337
"9",2010-09-01,551
"10",2010-10-01,33
"11",2010-11-01,43.5
"12",2010-12-01,19
"13",2011-01-01,5.5
"14",2011-02-01,22
"15",2011-03-01,5.5
"16",2011-04-01,7
"17",2011-05-01,166.5
"18",2011-06-01,477.5
"19",2011-07-01,218.5
"20",2011-08-01,154.5
"21",2011-09-01,130
"22",2011-10-01,176
"23",2011-11-01,84.5
"24",2011-12-01,2.5
"25",2012-01-01,45
"26",2012-02-01,32
"27",2012-03-01,22.5
"28",2012-04-01,227.5
"29",2012-05-01,260
"30",2012-06-01,276.5
"31",2012-07-01,474
"32",2012-08-01,124.5
"33",2012-09-01,215
"34",2012-10-01,47
"35",2012-11-01,63
"36",2012-12-01,51.5
"37",2013-01-01,3
"38",2013-02-01,1.5
"39",2013-03-01,120
"40",2013-04-01,236
"41",2013-05-01,441.5
"42",2013-06-01,389.5
"43",2013-07-01,365
"44",2013-08-01,432.5
"45",2013-09-01,451.5
"46",2013-10-01,1
"47",2013-11-01,77
"48",2013-12-01,87.5
"49",2014-01-01,0
"50",2014-02-01,38.5
"51",2014-03-01,146.1
"52",2014-04-01,131.5
"53",2014-05-01,674
"54",2014-06-01,454.2
"55",2014-07-01,256.3
"56",2014-08-01,582.6
"57",2014-09-01,141.1
"58",2014-10-01,113.8
"59",2014-11-01,27.8
"60",2014-12-01,47.3
"61",2015-01-01,43.6
"62",2015-02-01,32.8
"63",2015-03-01,31.9
"64",2015-04-01,61.6
"65",2015-05-01,539
"66",2015-06-01,278.6
"67",2015-07-01,445.1
"68",2015-08-01,175
"69",2015-09-01,89.6
"70",2015-10-01,169.9
"71",2015-11-01,29.8
"72",2015-12-01,65.1
"73",2016-01-01,242.1
"74",2016-02-01,29.7
"75",2016-03-01,138.9
"76",2016-04-01,230.5
"77",2016-05-01,234.7
"78",2016-06-01,366.9
"79",2016-07-01,193.3
"80",2016-08-01,545.7
"81",2016-09-01,301
"82",2016-10-01,668.3
"83",2016-11-01,132.8
"84",2016-12-01,11.6
"85",2017-01-01,10
"86",2017-02-01,21.9
"87",2017-03-01,32
"88",2017-04-01,75.8
"89",2017-05-01,446.3
"90",2017-06-01,642.5
"91",2017-07-01,574.5
"92",2017-08-01,541.1
"93",2017-09-01,231.7
"94",2017-10-01,127.6
"95",2017-11-01,35.6
"96",2017-12-01,0
"97",2018-01-01,70.7
"98",2018-02-01,5.2
"99",2018-03-01,25.7
"100",2018-04-01,32.4
"101",2018-05-01,64.8
"102",2018-06-01,459.2
"103",2018-07-01,342.8
"104",2018-08-01,676.4
"105",2018-09-01,432.5
"106",2018-10-01,119.3
"107",2018-11-01,69.8
"108",2018-12-01,9.9
"109",2019-01-01,5.9
"110",2019-02-01,67.3
"111",2019-03-01,206.1
"112",2019-04-01,183.4
"113",2019-05-01,234.6
"114",2019-06-01,431.3
"115",2019-07-01,372.4
"116",2019-08-01,547.6
"117",2019-09-01,218.9
"118",2019-10-01,166.3
"119",2019-11-01,0
"120",2019-12-01,12.5
"121",2020-01-01,17.1
"122",2020-02-01,75.4
"123",2020-03-01,39.2
"124",2020-04-01,67.3
"125",2020-05-01,350
"126",2020-06-01,347
"127",2020-07-01,118.3
"128",2020-08-01,426.3
"129",2020-09-01,635
"130",2020-10-01,152.4
"131",2020-11-01,4.5
"132",2020-12-01,1.7
"133",2021-01-01,0
"134",2021-02-01,60.2
"135",2021-03-01,6.8
"136",2021-04-01,30.2
"137",2021-05-01,59.1
"138",2021-06-01,583.6
"139",2021-07-01,260.9
"140",2021-08-01,341.1
"141",2021-09-01,92.2
"142",2021-10-01,639.3
"143",2021-11-01,5.3
"144",2021-12-01,22.4
"145",2022-01-01,3.5
"146",2022-02-01,165.1
"147",2022-03-01,96
"148",2022-04-01,3.5
"149",2022-05-01,407.2
"150",2022-06-01,350.3
"151",2022-07-01,156.8
"152",2022-08-01,574.1
