"","Date","Totalrain"
"1",2010-01-01,9.5
"2",2010-02-01,82.5
"3",2010-03-01,8.5
"4",2010-04-01,100
"5",2010-05-01,239
"6",2010-06-01,389.5
"7",2010-07-01,226
"8",2010-08-01,194.5
"9",2010-09-01,480
"10",2010-10-01,17.5
"11",2010-11-01,32
"12",2010-12-01,11.5
"13",2011-01-01,4.5
"14",2011-02-01,19.5
"15",2011-03-01,27
"16",2011-04-01,27
"17",2011-05-01,127
"18",2011-06-01,269
"19",2011-07-01,176.5
"20",2011-08-01,109.5
"21",2011-09-01,108
"22",2011-10-01,89.5
"23",2011-11-01,68
"24",2011-12-01,2.5
"25",2012-01-01,39.5
"26",2012-02-01,22.5
"27",2012-03-01,23.5
"28",2012-04-01,367.5
"29",2012-05-01,186.5
"30",2012-06-01,106.5
"31",2012-07-01,282.5
"32",2012-08-01,80.5
"33",2012-09-01,26
"34",2012-10-01,50
"35",2012-11-01,48.5
"36",2012-12-01,37
"37",2013-01-01,1
"38",2013-02-01,0.5
"39",2013-03-01,125.5
"40",2013-04-01,140.5
"41",2013-05-01,313
"42",2013-06-01,262.5
"43",2013-07-01,328
"44",2013-08-01,263.5
"45",2013-09-01,334
"46",2013-10-01,2
"47",2013-11-01,38
"48",2013-12-01,65.5
"49",2014-01-01,0
"50",2014-02-01,25.5
"51",2014-03-01,108
"52",2014-04-01,110.5
"53",2014-05-01,656.5
"54",2014-06-01,478.5
"55",2014-07-01,102.5
"56",2014-08-01,433
"57",2014-09-01,37.5
"58",2014-10-01,63
"59",2014-11-01,36
"60",2014-12-01,8
"61",2015-01-01,0
"62",2015-02-01,50
"63",2015-03-01,7.5
"64",2015-04-01,44
"65",2015-05-01,515
"66",2015-06-01,178
"67",2015-07-01,391
"68",2015-08-01,121.5
"69",2015-09-01,100
"70",2015-10-01,182.5
"71",2015-11-01,6
"72",2015-12-01,45.5
"73",2016-01-01,248
"74",2016-02-01,22
"75",2016-03-01,132.5
"76",2016-04-01,223
"77",2016-05-01,192
"78",2016-06-01,259.5
"79",2016-07-01,194
"80",2016-08-01,393.5
"81",2016-09-01,274.5
"82",2016-10-01,209.5
"83",2016-11-01,92.5
"84",2016-12-01,12.5
"85",2017-01-01,5
"86",2017-02-01,19
"87",2017-03-01,30
"88",2017-04-01,76
"89",2017-05-01,212.5
"90",2017-06-01,463
"91",2017-07-01,396
"92",2017-08-01,209.5
"93",2017-09-01,232
"94",2017-10-01,65.5
"95",2017-11-01,27.5
"96",2017-12-01,0
"97",2018-01-01,53.5
"98",2018-02-01,8
"99",2018-03-01,17
"100",2018-04-01,55.5
"101",2018-05-01,30
"102",2018-06-01,487
"103",2018-07-01,221.5
"104",2018-08-01,530.5
"105",2018-09-01,268.5
"106",2018-10-01,51.5
"107",2018-11-01,58
"108",2018-12-01,7.5
"109",2019-01-01,3.5
"110",2019-02-01,86
"111",2019-03-01,123
"112",2019-04-01,134.5
"113",2019-05-01,262.5
"114",2019-06-01,235.5
"115",2019-07-01,278
"116",2019-08-01,175.5
"117",2019-09-01,86
"118",2019-10-01,119
"119",2019-11-01,0
"120",2019-12-01,12.5
"121",2020-01-01,37
"122",2020-02-01,84
"123",2020-03-01,34
"124",2020-04-01,46
"125",2020-05-01,323.5
"126",2020-06-01,79.5
"127",2020-07-01,110
"128",2020-08-01,225
"129",2020-09-01,251
"130",2020-10-01,32.5
"131",2020-11-01,1.5
"132",2020-12-01,0
"133",2021-01-01,0
"134",2021-02-01,63.5
"135",2021-03-01,8
"136",2021-04-01,14.5
"137",2021-05-01,25
"138",2021-06-01,473
"139",2021-07-01,381.5
"140",2021-08-01,302
"141",2021-09-01,58
"142",2021-10-01,455.5
"143",2021-11-01,0.5
"144",2021-12-01,25.5
"145",2022-01-01,2
"146",2022-02-01,172.5
"147",2022-03-01,57
"148",2022-04-01,2.5
"149",2022-05-01,502
"150",2022-06-01,297.5
"151",2022-07-01,81.5
"152",2022-08-01,415
