"","Date","Totalrain"
"1",2010-01-01,31.5
"2",2010-02-01,90.5
"3",2010-03-01,20
"4",2010-04-01,102.5
"5",2010-05-01,169
"6",2010-06-01,155
"7",2010-07-01,123
"8",2010-08-01,173
"9",2010-09-01,476
"10",2010-10-01,26
"11",2010-11-01,40
"12",2010-12-01,29
"13",2011-01-01,0
"14",2011-02-01,0
"15",2011-03-01,31.5
"16",2011-04-01,41.5
"17",2011-05-01,213.5
"18",2011-06-01,403.5
"19",2011-07-01,195
"20",2011-08-01,121
"21",2011-09-01,77
"22",2011-10-01,85.5
"23",2011-11-01,120.5
"24",2011-12-01,0
"25",2012-01-01,54
"26",2012-02-01,42.5
"27",2012-03-01,23.5
"28",2012-04-01,240
"29",2012-05-01,143
"30",2012-06-01,94.5
"31",2012-07-01,439
"32",2012-08-01,62
"33",2012-09-01,66
"34",2012-10-01,56.5
"35",2012-11-01,68
"36",2012-12-01,54
"37",2013-01-01,2
"38",2013-02-01,1.5
"39",2013-03-01,119
"40",2013-04-01,179.5
"41",2013-05-01,266.5
"42",2013-06-01,302.5
"43",2013-07-01,344.5
"44",2013-08-01,134.5
"45",2013-09-01,365
"46",2013-10-01,1
"47",2013-11-01,50.5
"48",2013-12-01,139
"49",2014-01-01,0
"50",2014-02-01,42
"51",2014-03-01,176
"52",2014-04-01,126
"53",2014-05-01,427
"54",2014-06-01,238
"55",2014-07-01,177
"56",2014-08-01,330.5
"57",2014-09-01,55
"58",2014-10-01,11.5
"59",2014-11-01,38.5
"60",2014-12-01,52.5
"61",2015-01-01,46
"62",2015-02-01,21
"63",2015-03-01,19
"64",2015-04-01,61
"65",2015-05-01,338
"66",2015-06-01,203.5
"67",2015-07-01,324
"68",2015-08-01,152
"69",2015-09-01,57
"70",2015-10-01,170.5
"71",2015-11-01,10.5
"72",2015-12-01,58.5
"73",2016-01-01,249.5
"74",2016-02-01,31.5
"75",2016-03-01,122
"76",2016-04-01,170
"77",2016-05-01,253.5
"78",2016-06-01,179.5
"79",2016-07-01,149
"80",2016-08-01,499.5
"81",2016-09-01,232
"82",2016-10-01,148
"83",2016-11-01,112.5
"84",2016-12-01,10.5
"85",2017-01-01,10
"86",2017-02-01,39
"87",2017-03-01,48
"88",2017-04-01,110
"89",2017-05-01,256.5
"90",2017-06-01,305
"91",2017-07-01,311
"92",2017-08-01,111
"93",2017-09-01,88.5
"94",2017-10-01,82.5
"95",2017-11-01,2
"96",2017-12-01,0
"97",2018-01-01,69.5
"98",2018-02-01,7.5
"99",2018-03-01,25
"100",2018-04-01,43
"101",2018-05-01,74
"102",2018-06-01,449
"103",2018-07-01,170
"104",2018-08-01,511.5
"105",2018-09-01,190.5
"106",2018-10-01,47
"107",2018-11-01,52
"108",2018-12-01,18
"109",2019-01-01,4
"110",2019-02-01,67
"111",2019-03-01,190.5
"112",2019-04-01,102
"113",2019-05-01,175.5
"114",2019-06-01,279.5
"115",2019-07-01,286.5
"116",2019-08-01,390
"117",2019-09-01,144
"118",2019-10-01,62.5
"119",2019-11-01,0
"120",2019-12-01,8.5
"121",2020-01-01,0
"122",2020-02-01,44.5
"123",2020-03-01,49
"124",2020-04-01,84.5
"125",2020-05-01,304.5
"126",2020-06-01,203.5
"127",2020-07-01,98.5
"128",2020-08-01,106.5
"129",2020-09-01,0
"130",2020-10-01,0
"131",2020-11-01,0
"132",2020-12-01,0.5
"133",2021-01-01,0
"134",2021-02-01,70.5
"135",2021-03-01,8
"136",2021-04-01,24
"137",2021-05-01,70
"138",2021-06-01,70.5
"139",2021-07-01,54.5
"140",2021-08-01,164
"141",2021-09-01,97
"142",2021-10-01,327.5
"143",2021-11-01,4
"144",2021-12-01,41
"145",2022-01-01,7.5
"146",2022-02-01,0
"147",2022-03-01,0
"148",2022-04-01,0
"149",2022-05-01,173
"150",2022-06-01,292.5
"151",2022-07-01,110
"152",2022-08-01,430.5
