"","Date","Totalrain"
"1",2010-01-01,25
"2",2010-02-01,88.5
"3",2010-03-01,15
"4",2010-04-01,92.5
"5",2010-05-01,283.5
"6",2010-06-01,299
"7",2010-07-01,454
"8",2010-08-01,283
"9",2010-09-01,351
"10",2010-10-01,95
"11",2010-11-01,50
"12",2010-12-01,24.5
"13",2011-01-01,7
"14",2011-02-01,23
"15",2011-03-01,19
"16",2011-04-01,46.5
"17",2011-05-01,159
"18",2011-06-01,531
"19",2011-07-01,243.5
"20",2011-08-01,171.5
"21",2011-09-01,118.5
"22",2011-10-01,190
"23",2011-11-01,102.5
"24",2011-12-01,0
"25",2012-01-01,46
"26",2012-02-01,49.5
"27",2012-03-01,31
"28",2012-04-01,200
"29",2012-05-01,315
"30",2012-06-01,153.5
"31",2012-07-01,636
"32",2012-08-01,90
"33",2012-09-01,81.5
"34",2012-10-01,51
"35",2012-11-01,80
"36",2012-12-01,51
"37",2013-01-01,7.5
"38",2013-02-01,0.5
"39",2013-03-01,136.5
"40",2013-04-01,233
"41",2013-05-01,490.5
"42",2013-06-01,532
"43",2013-07-01,434.5
"44",2013-08-01,200
"45",2013-09-01,325.5
"46",2013-10-01,0
"47",2013-11-01,63.5
"48",2013-12-01,88.5
"49",2014-01-01,0
"50",2014-02-01,29
"51",2014-03-01,291
"52",2014-04-01,218
"53",2014-05-01,638.5
"54",2014-06-01,335.5
"55",2014-07-01,239
"56",2014-08-01,340
"57",2014-09-01,152.5
"58",2014-10-01,30
"59",2014-11-01,37
"60",2014-12-01,47.5
"61",2015-01-01,41.5
"62",2015-02-01,21
"63",2015-03-01,19
"64",2015-04-01,53.5
"65",2015-05-01,743
"66",2015-06-01,226
"67",2015-07-01,383
"68",2015-08-01,402.5
"69",2015-09-01,128
"70",2015-10-01,343.5
"71",2015-11-01,53.5
"72",2015-12-01,60.5
"73",2016-01-01,304
"74",2016-02-01,38
"75",2016-03-01,145
"76",2016-04-01,203.5
"77",2016-05-01,335.5
"78",2016-06-01,338
"79",2016-07-01,310.5
"80",2016-08-01,671.5
"81",2016-09-01,290
"82",2016-10-01,654
"83",2016-11-01,131.5
"84",2016-12-01,11.5
"85",2017-01-01,12.5
"86",2017-02-01,28
"87",2017-03-01,41
"88",2017-04-01,76.5
"89",2017-05-01,315.5
"90",2017-06-01,631
"91",2017-07-01,642
"92",2017-08-01,431.5
"93",2017-09-01,251
"94",2017-10-01,133.5
"95",2017-11-01,26
"96",2017-12-01,0
"97",2018-01-01,66
"98",2018-02-01,5.5
"99",2018-03-01,15.5
"100",2018-04-01,33
"101",2018-05-01,88
"102",2018-06-01,744.5
"103",2018-07-01,398.5
"104",2018-08-01,797
"105",2018-09-01,179.5
"106",2018-10-01,71
"107",2018-11-01,77
"108",2018-12-01,13
"109",2019-01-01,4.5
"110",2019-02-01,61
"111",2019-03-01,153
"112",2019-04-01,224.5
"113",2019-05-01,224
"114",2019-06-01,211
"115",2019-07-01,487
"116",2019-08-01,551.5
"117",2019-09-01,229.5
"118",2019-10-01,174
"119",2019-11-01,0
"120",2019-12-01,13.5
"121",2020-01-01,37
"122",2020-02-01,57
"123",2020-03-01,53
"124",2020-04-01,59
"125",2020-05-01,277.5
"126",2020-06-01,583.5
"127",2020-07-01,128.5
"128",2020-08-01,462
"129",2020-09-01,568.5
"130",2020-10-01,65
"131",2020-11-01,3.5
"132",2020-12-01,2
"133",2021-01-01,0
"134",2021-02-01,47
"135",2021-03-01,11.5
"136",2021-04-01,26
"137",2021-05-01,85.5
"138",2021-06-01,351.5
"139",2021-07-01,453
"140",2021-08-01,385
"141",2021-09-01,84.5
"142",2021-10-01,620
"143",2021-11-01,4.5
"144",2021-12-01,26.5
"145",2022-01-01,8
"146",2022-02-01,198.5
"147",2022-03-01,107.5
"148",2022-04-01,24.5
"149",2022-05-01,524
"150",2022-06-01,380.5
"151",2022-07-01,243.5
"152",2022-08-01,593.5
