"","Date","Totalrain"
"1",2010-01-01,24.5
"2",2010-02-01,72.5
"3",2010-03-01,14
"4",2010-04-01,120.5
"5",2010-05-01,177.5
"6",2010-06-01,199
"7",2010-07-01,356
"8",2010-08-01,194
"9",2010-09-01,304.5
"10",2010-10-01,16.5
"11",2010-11-01,30.5
"12",2010-12-01,13
"13",2011-01-01,11
"14",2011-02-01,24
"15",2011-03-01,17.5
"16",2011-04-01,88.5
"17",2011-05-01,273
"18",2011-06-01,375.5
"19",2011-07-01,238
"20",2011-08-01,166
"21",2011-09-01,154
"22",2011-10-01,229
"23",2011-11-01,89
"24",2011-12-01,0
"25",2012-01-01,44
"26",2012-02-01,43.5
"27",2012-03-01,23.5
"28",2012-04-01,285
"29",2012-05-01,206
"30",2012-06-01,473
"31",2012-07-01,535.5
"32",2012-08-01,80.5
"33",2012-09-01,87.5
"34",2012-10-01,50
"35",2012-11-01,111
"36",2012-12-01,40
"37",2013-01-01,8.5
"38",2013-02-01,1
"39",2013-03-01,112
"40",2013-04-01,262.5
"41",2013-05-01,398.5
"42",2013-06-01,399
"43",2013-07-01,395
"44",2013-08-01,489
"45",2013-09-01,264
"46",2013-10-01,7
"47",2013-11-01,42.5
"48",2013-12-01,126.5
"49",2014-01-01,0
"50",2014-02-01,30.5
"51",2014-03-01,128.5
"52",2014-04-01,11
"53",2014-05-01,596
"54",2014-06-01,236
"55",2014-07-01,229
"56",2014-08-01,183.5
"57",2014-09-01,276
"58",2014-10-01,7.5
"59",2014-11-01,11.5
"60",2014-12-01,39.5
"61",2015-01-01,47.5
"62",2015-02-01,10
"63",2015-03-01,10.5
"64",2015-04-01,41
"65",2015-05-01,296.5
"66",2015-06-01,176
"67",2015-07-01,309
"68",2015-08-01,165.5
"69",2015-09-01,150.5
"70",2015-10-01,252.5
"71",2015-11-01,12
"72",2015-12-01,82.5
"73",2016-01-01,253.5
"74",2016-02-01,33
"75",2016-03-01,126.5
"76",2016-04-01,186
"77",2016-05-01,319
"78",2016-06-01,290.5
"79",2016-07-01,147
"80",2016-08-01,542.5
"81",2016-09-01,146
"82",2016-10-01,465.5
"83",2016-11-01,105
"84",2016-12-01,10
"85",2017-01-01,9
"86",2017-02-01,26.5
"87",2017-03-01,46
"88",2017-04-01,111.5
"89",2017-05-01,190.5
"90",2017-06-01,448
"91",2017-07-01,574.5
"92",2017-08-01,437
"93",2017-09-01,171.5
"94",2017-10-01,174
"95",2017-11-01,12.5
"96",2017-12-01,0
"97",2018-01-01,66
"98",2018-02-01,5
"99",2018-03-01,15.5
"100",2018-04-01,37
"101",2018-05-01,80.5
"102",2018-06-01,609.5
"103",2018-07-01,281.5
"104",2018-08-01,825.5
"105",2018-09-01,319.5
"106",2018-10-01,25
"107",2018-11-01,57
"108",2018-12-01,7.5
"109",2019-01-01,5
"110",2019-02-01,52
"111",2019-03-01,117.5
"112",2019-04-01,262.5
"113",2019-05-01,223.5
"114",2019-06-01,294
"115",2019-07-01,336.5
"116",2019-08-01,397
"117",2019-09-01,149.5
"118",2019-10-01,55.5
"119",2019-11-01,0
"120",2019-12-01,7
"121",2020-01-01,27
"122",2020-02-01,41.5
"123",2020-03-01,37.5
"124",2020-04-01,87.5
"125",2020-05-01,253.5
"126",2020-06-01,195.5
"127",2020-07-01,58.5
"128",2020-08-01,470
"129",2020-09-01,381.5
"130",2020-10-01,56.5
"131",2020-11-01,3
"132",2020-12-01,0.5
"133",2021-01-01,0
"134",2021-02-01,41
"135",2021-03-01,29
"136",2021-04-01,26
"137",2021-05-01,93
"138",2021-06-01,366
"139",2021-07-01,341
"140",2021-08-01,487.5
"141",2021-09-01,134
"142",2021-10-01,579.5
"143",2021-11-01,4.5
"144",2021-12-01,29.5
"145",2022-01-01,8.5
"146",2022-02-01,170
"147",2022-03-01,121.5
"148",2022-04-01,6.5
"149",2022-05-01,504.5
"150",2022-06-01,298
"151",2022-07-01,136.5
"152",2022-08-01,539.5
