"","Date","Totalrain"
"1",2010-01-01,11
"2",2010-02-01,36
"3",2010-03-01,2.5
"4",2010-04-01,58.5
"5",2010-05-01,28.5
"6",2010-06-01,0
"7",2010-07-01,416.5
"8",2010-08-01,184.5
"9",2010-09-01,379
"10",2010-10-01,42
"11",2010-11-01,32
"12",2010-12-01,19.5
"13",2011-01-01,8.5
"14",2011-02-01,24.5
"15",2011-03-01,19.5
"16",2011-04-01,75.5
"17",2011-05-01,181
"18",2011-06-01,493.5
"19",2011-07-01,198.5
"20",2011-08-01,109.5
"21",2011-09-01,112.5
"22",2011-10-01,138.5
"23",2011-11-01,102
"24",2011-12-01,0
"25",2012-01-01,41.5
"26",2012-02-01,52
"27",2012-03-01,34
"28",2012-04-01,293.5
"29",2012-05-01,317.5
"30",2012-06-01,339
"31",2012-07-01,550
"32",2012-08-01,223.5
"33",2012-09-01,85.5
"34",2012-10-01,60.5
"35",2012-11-01,74
"36",2012-12-01,46
"37",2013-01-01,13
"38",2013-02-01,1.5
"39",2013-03-01,86.5
"40",2013-04-01,231
"41",2013-05-01,374.5
"42",2013-06-01,391
"43",2013-07-01,420.5
"44",2013-08-01,487
"45",2013-09-01,304
"46",2013-10-01,1
"47",2013-11-01,33.5
"48",2013-12-01,1
"49",2014-01-01,0
"50",2014-02-01,25.5
"51",2014-03-01,237
"52",2014-04-01,127
"53",2014-05-01,777
"54",2014-06-01,378
"55",2014-07-01,245.5
"56",2014-08-01,175
"57",2014-09-01,128.5
"58",2014-10-01,13
"59",2014-11-01,17.5
"60",2014-12-01,36
"61",2015-01-01,42
"62",2015-02-01,22
"63",2015-03-01,14
"64",2015-04-01,47.5
"65",2015-05-01,724.5
"66",2015-06-01,161.5
"67",2015-07-01,254
"68",2015-08-01,145
"69",2015-09-01,157.5
"70",2015-10-01,245.5
"71",2015-11-01,14.5
"72",2015-12-01,57.5
"73",2016-01-01,139.5
"74",2016-02-01,35
"75",2016-03-01,149.5
"76",2016-04-01,199
"77",2016-05-01,180
"78",2016-06-01,207
"79",2016-07-01,48
"80",2016-08-01,392
"81",2016-09-01,172.5
"82",2016-10-01,402.5
"83",2016-11-01,15.5
"84",2016-12-01,6
"85",2017-01-01,8.5
"86",2017-02-01,8.5
"87",2017-03-01,67.5
"88",2017-04-01,116
"89",2017-05-01,242
"90",2017-06-01,710
"91",2017-07-01,893
"92",2017-08-01,409.5
"93",2017-09-01,190.5
"94",2017-10-01,163
"95",2017-11-01,22
"96",2017-12-01,0
"97",2018-01-01,81.5
"98",2018-02-01,7
"99",2018-03-01,19
"100",2018-04-01,32.5
"101",2018-05-01,88
"102",2018-06-01,570.5
"103",2018-07-01,500
"104",2018-08-01,801
"105",2018-09-01,215.5
"106",2018-10-01,36.5
"107",2018-11-01,78
"108",2018-12-01,14.5
"109",2019-01-01,8
"110",2019-02-01,0
"111",2019-03-01,13
"112",2019-04-01,125.5
"113",2019-05-01,114
"114",2019-06-01,302.5
"115",2019-07-01,273.5
"116",2019-08-01,397.5
"117",2019-09-01,120
"118",2019-10-01,58
"119",2019-11-01,0
"120",2019-12-01,1
"121",2020-01-01,25.5
"122",2020-02-01,7
"123",2020-03-01,0
"124",2020-04-01,0
"125",2020-05-01,110.5
"126",2020-06-01,445
"127",2020-07-01,0
"128",2020-08-01,444
"129",2020-09-01,408
"130",2020-10-01,56.5
"131",2020-11-01,1.5
"132",2020-12-01,2
"133",2021-01-01,0
"134",2021-02-01,41
"135",2021-03-01,13.5
"136",2021-04-01,25.5
"137",2021-05-01,90
"138",2021-06-01,382
"139",2021-07-01,333
"140",2021-08-01,517.5
"141",2021-09-01,157.5
"142",2021-10-01,531
"143",2021-11-01,5
"144",2021-12-01,27.5
"145",2022-01-01,8.5
"146",2022-02-01,183
"147",2022-03-01,128
"148",2022-04-01,12.5
"149",2022-05-01,537
"150",2022-06-01,406.5
"151",2022-07-01,219
"152",2022-08-01,546
