"","Date","Totalrain"
"1",2010-01-01,20.5
"2",2010-02-01,91
"3",2010-03-01,16.5
"4",2010-04-01,110
"5",2010-05-01,204.5
"6",2010-06-01,311
"7",2010-07-01,221.5
"8",2010-08-01,145.5
"9",2010-09-01,473
"10",2010-10-01,44
"11",2010-11-01,33.5
"12",2010-12-01,24.5
"13",2011-01-01,9
"14",2011-02-01,24.5
"15",2011-03-01,33.5
"16",2011-04-01,21.5
"17",2011-05-01,138.5
"18",2011-06-01,334
"19",2011-07-01,188
"20",2011-08-01,110.5
"21",2011-09-01,103
"22",2011-10-01,66
"23",2011-11-01,87
"24",2011-12-01,0
"25",2012-01-01,43.5
"26",2012-02-01,43
"27",2012-03-01,29
"28",2012-04-01,397.5
"29",2012-05-01,94
"30",2012-06-01,166
"31",2012-07-01,471
"32",2012-08-01,82.5
"33",2012-09-01,58.5
"34",2012-10-01,51.5
"35",2012-11-01,73
"36",2012-12-01,58.5
"37",2013-01-01,1.5
"38",2013-02-01,2
"39",2013-03-01,142.5
"40",2013-04-01,258.5
"41",2013-05-01,488
"42",2013-06-01,311
"43",2013-07-01,257.5
"44",2013-08-01,311
"45",2013-09-01,243.5
"46",2013-10-01,12.5
"47",2013-11-01,50
"48",2013-12-01,130
"49",2014-01-01,0
"50",2014-02-01,37
"51",2014-03-01,263.5
"52",2014-04-01,149.5
"53",2014-05-01,514
"54",2014-06-01,249
"55",2014-07-01,165
"56",2014-08-01,168
"57",2014-09-01,104
"58",2014-10-01,9.5
"59",2014-11-01,25
"60",2014-12-01,50
"61",2015-01-01,55
"62",2015-02-01,20
"63",2015-03-01,11
"64",2015-04-01,64
"65",2015-05-01,386.5
"66",2015-06-01,146.5
"67",2015-07-01,227
"68",2015-08-01,257.5
"69",2015-09-01,90
"70",2015-10-01,116.5
"71",2015-11-01,16
"72",2015-12-01,64
"73",2016-01-01,274
"74",2016-02-01,33
"75",2016-03-01,134.5
"76",2016-04-01,197
"77",2016-05-01,377
"78",2016-06-01,176.5
"79",2016-07-01,137
"80",2016-08-01,415.5
"81",2016-09-01,193.5
"82",2016-10-01,199.5
"83",2016-11-01,89
"84",2016-12-01,6.5
"85",2017-01-01,5.5
"86",2017-02-01,52
"87",2017-03-01,58
"88",2017-04-01,100.5
"89",2017-05-01,265
"90",2017-06-01,396
"91",2017-07-01,470
"92",2017-08-01,310
"93",2017-09-01,228
"94",2017-10-01,68
"95",2017-11-01,17
"96",2017-12-01,0
"97",2018-01-01,75.5
"98",2018-02-01,7
"99",2018-03-01,23
"100",2018-04-01,53
"101",2018-05-01,74
"102",2018-06-01,427
"103",2018-07-01,228.5
"104",2018-08-01,575
"105",2018-09-01,302.5
"106",2018-10-01,33
"107",2018-11-01,51.5
"108",2018-12-01,9
"109",2019-01-01,2.5
"110",2019-02-01,47.5
"111",2019-03-01,131
"112",2019-04-01,191
"113",2019-05-01,287.5
"114",2019-06-01,195.5
"115",2019-07-01,280
"116",2019-08-01,435
"117",2019-09-01,134
"118",2019-10-01,49.5
"119",2019-11-01,0
"120",2019-12-01,9.5
"121",2020-01-01,38.5
"122",2020-02-01,49
"123",2020-03-01,33
"124",2020-04-01,57.5
"125",2020-05-01,278
"126",2020-06-01,239.5
"127",2020-07-01,49
"128",2020-08-01,419.5
"129",2020-09-01,273
"130",2020-10-01,12
"131",2020-11-01,0
"132",2020-12-01,0
"133",2021-01-01,0
"134",2021-02-01,57
"135",2021-03-01,5.5
"136",2021-04-01,43.5
"137",2021-05-01,64.5
"138",2021-06-01,140
"139",2021-07-01,214.5
"140",2021-08-01,248
"141",2021-09-01,37.5
"142",2021-10-01,458.5
"143",2021-11-01,3
"144",2021-12-01,35.5
"145",2022-01-01,6.5
"146",2022-02-01,172.5
"147",2022-03-01,101
"148",2022-04-01,6.5
"149",2022-05-01,362
"150",2022-06-01,108
"151",2022-07-01,128
"152",2022-08-01,368
