"","Date","Totalrain"
"1",2010-01-01,26.5
"2",2010-02-01,95
"3",2010-03-01,17
"4",2010-04-01,133
"5",2010-05-01,217.5
"6",2010-06-01,254
"7",2010-07-01,367
"8",2010-08-01,197.5
"9",2010-09-01,368.5
"10",2010-10-01,10.5
"11",2010-11-01,33.5
"12",2010-12-01,21
"13",2011-01-01,7.5
"14",2011-02-01,24.5
"15",2011-03-01,23
"16",2011-04-01,12.5
"17",2011-05-01,197
"18",2011-06-01,396
"19",2011-07-01,242.5
"20",2011-08-01,196.5
"21",2011-09-01,115
"22",2011-10-01,87.5
"23",2011-11-01,97
"24",2011-12-01,0
"25",2012-01-01,44
"26",2012-02-01,36
"27",2012-03-01,20
"28",2012-04-01,288
"29",2012-05-01,129.5
"30",2012-06-01,210.5
"31",2012-07-01,439.5
"32",2012-08-01,126
"33",2012-09-01,46
"34",2012-10-01,43
"35",2012-11-01,86.5
"36",2012-12-01,52
"37",2013-01-01,6
"38",2013-02-01,0.5
"39",2013-03-01,101
"40",2013-04-01,252
"41",2013-05-01,337.5
"42",2013-06-01,278
"43",2013-07-01,209.5
"44",2013-08-01,384
"45",2013-09-01,184
"46",2013-10-01,9
"47",2013-11-01,64
"48",2013-12-01,120.5
"49",2014-01-01,0
"50",2014-02-01,35
"51",2014-03-01,253
"52",2014-04-01,119.5
"53",2014-05-01,507.5
"54",2014-06-01,187.5
"55",2014-07-01,115.5
"56",2014-08-01,125
"57",2014-09-01,111.5
"58",2014-10-01,4
"59",2014-11-01,19
"60",2014-12-01,26
"61",2015-01-01,0
"62",2015-02-01,13.5
"63",2015-03-01,10
"64",2015-04-01,54
"65",2015-05-01,223.5
"66",2015-06-01,143.5
"67",2015-07-01,190
"68",2015-08-01,195
"69",2015-09-01,123
"70",2015-10-01,148
"71",2015-11-01,1
"72",2015-12-01,2
"73",2016-01-01,245.5
"74",2016-02-01,40.5
"75",2016-03-01,125.5
"76",2016-04-01,204
"77",2016-05-01,367
"78",2016-06-01,230.5
"79",2016-07-01,173
"80",2016-08-01,458.5
"81",2016-09-01,165.5
"82",2016-10-01,274.5
"83",2016-11-01,93.5
"84",2016-12-01,5.5
"85",2017-01-01,8
"86",2017-02-01,31.5
"87",2017-03-01,56
"88",2017-04-01,84.5
"89",2017-05-01,112
"90",2017-06-01,381.5
"91",2017-07-01,440
"92",2017-08-01,263
"93",2017-09-01,262
"94",2017-10-01,107
"95",2017-11-01,16
"96",2017-12-01,0
"97",2018-01-01,70.5
"98",2018-02-01,5
"99",2018-03-01,21
"100",2018-04-01,34.5
"101",2018-05-01,53.5
"102",2018-06-01,465.5
"103",2018-07-01,239.5
"104",2018-08-01,654.5
"105",2018-09-01,314
"106",2018-10-01,40
"107",2018-11-01,56
"108",2018-12-01,6.5
"109",2019-01-01,6.5
"110",2019-02-01,45.5
"111",2019-03-01,127
"112",2019-04-01,163.5
"113",2019-05-01,293
"114",2019-06-01,290
"115",2019-07-01,284
"116",2019-08-01,277
"117",2019-09-01,163.5
"118",2019-10-01,53.5
"119",2019-11-01,0
"120",2019-12-01,6.5
"121",2020-01-01,37
"122",2020-02-01,45
"123",2020-03-01,35.5
"124",2020-04-01,77.5
"125",2020-05-01,231.5
"126",2020-06-01,223
"127",2020-07-01,47.5
"128",2020-08-01,333.5
"129",2020-09-01,239.5
"130",2020-10-01,35
"131",2020-11-01,0
"132",2020-12-01,0.5
"133",2021-01-01,0
"134",2021-02-01,65.5
"135",2021-03-01,23.5
"136",2021-04-01,29.5
"137",2021-05-01,122
"138",2021-06-01,345.5
"139",2021-07-01,226
"140",2021-08-01,246.5
"141",2021-09-01,60.5
"142",2021-10-01,342
"143",2021-11-01,7.5
"144",2021-12-01,31
"145",2022-01-01,9
"146",2022-02-01,153
"147",2022-03-01,106.5
"148",2022-04-01,6
"149",2022-05-01,457
"150",2022-06-01,273
"151",2022-07-01,168.5
"152",2022-08-01,481.5
